Time,header.seq,header.stamp.secs,header.stamp.nsecs,pose.position.x,pose.position.y,pose.position.z,pose.orientation.x,pose.orientation.y,pose.orientation.z,pose.orientation.w,twist.linear.x,twist.linear.y,twist.linear.z,twist.angular.x,twist.angular.y,twist.angular.z
1678956296,1,1678956295,441857000,-0.000558092,-0.000222475,-0.000599435,-0.388840228,-0.000440938,-0.000978956,0.921304643,-0.007495367,0.05218371,-0.034918509,0.018201631,0.04188858,0.064089134
1678956296,2,1678956295,549505000,-0.000681447,-0.00052111,-0.000171947,-0.388815641,-0.000794145,-0.000817659,0.921314895,-0.008969636,-0.005581591,-0.005221067,0.023115106,-0.015686955,0.047809597
1678956296,3,1678956295,650950000,-0.000456003,-0.000109549,0.000554888,-0.388662696,-0.000928546,-0.000866691,0.921379328,-0.001032325,0.000216585,0.00412438,-0.052900627,0.009464523,0.007934465
1678956296,4,1678956295,650950000,-0.000456003,-0.000109549,0.000554888,-0.388662696,-0.000928546,-0.000866691,0.921379328,-0.001032325,0.000216585,0.00412438,-0.052900627,0.009464523,0.007934465
1678956296,5,1678956295,666469000,-0.000452943,7.49E-05,0.000622606,-0.388699681,-0.000909603,-0.000839459,0.921363711,0.000800129,0.018626163,0.006653803,0.087574959,-0.0086707,0.00526457
1678956296,6,1678956295,666469000,-0.000452943,7.49E-05,0.000622606,-0.388699681,-0.000909603,-0.000839459,0.921363711,0.000800129,0.018626163,0.006653803,0.087574959,-0.0086707,0.00526457
1678956296,7,1678956295,666469000,-0.000452943,7.49E-05,0.000622606,-0.388699681,-0.000909603,-0.000839459,0.921363711,0.000800129,0.018626163,0.006653803,0.087574959,-0.0086707,0.00526457
1678956296,8,1678956295,674781000,-0.000439581,0.000319828,0.000697336,-0.388509184,-0.001031454,-0.000806006,0.921443939,0.001877121,0.030068342,0.008427277,-0.051824365,0.019093977,0.015989812
1678956296,9,1678956295,674781000,-0.000439581,0.000319828,0.000697336,-0.388509184,-0.001031454,-0.000806006,0.921443939,0.001877121,0.030068342,0.008427277,-0.051824365,0.019093977,0.015989812
1678956296,10,1678956295,681002000,-0.000495215,-0.000294376,0.000332686,-0.388526589,-0.001038254,-0.000765649,0.921436608,-0.003998934,-0.02439338,-0.009326736,0.09872061,0.04410208,-0.014902974
1678956296,11,1678956295,681002000,-0.000495215,-0.000294376,0.000332686,-0.388526589,-0.001038254,-0.000765649,0.921436608,-0.003998934,-0.02439338,-0.009326736,0.09872061,0.04410208,-0.014902974
1678956296,12,1678956295,692914000,-0.000517868,-0.000450933,0.000278741,-0.388223141,-0.000951672,-0.000768624,0.921564579,-0.005008708,-0.033534322,-0.011959068,0.053932257,0.018385466,0.007710888
1678956296,13,1678956295,692914000,-0.000517868,-0.000450933,0.000278741,-0.388223141,-0.000951672,-0.000768624,0.921564579,-0.005008708,-0.033534322,-0.011959068,0.053932257,0.018385466,0.007710888
1678956296,14,1678956295,692914000,-0.000517868,-0.000450933,0.000278741,-0.388223141,-0.000951672,-0.000768624,0.921564579,-0.005008708,-0.033534322,-0.011959068,0.053932257,0.018385466,0.007710888
1678956296,15,1678956295,698993000,-0.000545184,-0.000519331,0.000325116,-0.388780147,-0.001076542,-0.000795676,0.921329558,-0.003433255,-0.011574005,0.003033743,-0.04486547,-0.063478537,-0.010799197
