Time,header.seq,header.stamp.secs,header.stamp.nsecs,pose.position.x,pose.position.y,pose.position.z,pose.orientation.x,pose.orientation.y,pose.orientation.z,pose.orientation.w,twist.linear.x,twist.linear.y,twist.linear.z,twist.angular.x,twist.angular.y,twist.angular.z
1678956296,1,1678956295,344665000,-0.000352688,0.000236916,-0.000262451,-0.397973269,-0.009155183,0.017128142,0.917191446,0.013742691,-0.001845911,-0.003209746,-0.036587764,0.001562421,0.001129327
1678956296,2,1678956295,449149000,-0.000341549,-0.000720179,-0.000457675,-0.397753388,-0.009334032,0.017046826,0.917286575,0.001262995,0.025949754,-0.004615034,0.113653801,-0.000324966,-0.007535601
1678956296,3,1678956295,550549000,-0.000111113,-0.000477172,-0.000730006,-0.397634774,-0.009286535,0.017030336,0.917338669,-0.002149962,0.03623515,0.019137418,0.019457871,-0.001336196,-0.035887193
1678956296,4,1678956295,651256000,-8.48E-05,-0.000840166,-0.001169371,-0.39764753,-0.009601231,0.016681874,0.917336345,-2.57E-05,0.020603482,-0.008467968,-0.005303033,0.015061005,-0.029907769
1678956296,5,1678956295,651256000,-8.48E-05,-0.000840166,-0.001169371,-0.39764753,-0.009601231,0.016681874,0.917336345,-2.57E-05,0.020603482,-0.008467968,-0.005303033,0.015061005,-0.029907769
1678956296,6,1678956295,666540000,-5.45E-05,-0.000848463,-0.00124599,-0.398035586,-0.009487322,0.016903149,0.91716522,0.002396968,-0.003140446,-0.006239717,-0.016344059,-0.004781511,-0.024704538
1678956296,7,1678956295,666540000,-5.45E-05,-0.000848463,-0.00124599,-0.398035586,-0.009487322,0.016903149,0.91716522,0.002396968,-0.003140446,-0.006239717,-0.016344059,-0.004781511,-0.024704538
1678956296,8,1678956295,666540000,-5.45E-05,-0.000848463,-0.00124599,-0.398035586,-0.009487322,0.016903149,0.91716522,0.002396968,-0.003140446,-0.006239717,-0.016344059,-0.004781511,-0.024704538
1678956296,9,1678956295,674201000,-4.15E-05,-0.000868716,-0.001274483,-0.398067892,-0.009480643,0.016784498,0.917153478,0.002869682,-0.007058179,-0.006011589,0.029696999,-0.032506343,-0.05236201
1678956296,10,1678956295,680106000,-4.52E-05,-0.000807838,-0.00126866,-0.397951216,-0.009537292,0.016663868,0.917205691,0.000571321,0.004195946,-0.001390574,0.031828023,-0.035660006,-0.005453426
1678956296,11,1678956295,680106000,-4.52E-05,-0.000807838,-0.00126866,-0.397951216,-0.009537292,0.016663868,0.917205691,0.000571321,0.004195946,-0.001390574,0.031828023,-0.035660006,-0.005453426
1678956296,12,1678956295,688111000,-0.000178095,-0.000757266,-0.00154579,-0.398530841,-0.009548102,0.016722543,0.916952789,-0.002402302,-0.001740351,-0.006081202,-0.103209138,0.055503167,-0.04289775
1678956296,13,1678956295,688111000,-0.000178095,-0.000757266,-0.00154579,-0.398530841,-0.009548102,0.016722543,0.916952789,-0.002402302,-0.001740351,-0.006081202,-0.103209138,0.055503167,-0.04289775
1678956296,14,1678956295,688111000,-0.000178095,-0.000757266,-0.00154579,-0.398530841,-0.009548102,0.016722543,0.916952789,-0.002402302,-0.001740351,-0.006081202,-0.103209138,0.055503167,-0.04289775
1678956296,15,1678956295,698880000,-0.000149304,-0.000717863,-0.001713693,-0.398476601,-0.009394884,0.016662223,0.916979074,0.001401147,0.003040835,-0.021517146,0.161863759,0.001945729,0.004015067
1678956296,16,1678956295,700828000,-0.00013667,-0.000666919,-0.001807058,-0.397952795,-0.009509612,0.016745845,0.917203724,0.002248197,0.006503054,-0.023922976,0.234899491,-0.01851159,0.06365528
1678956296,17,1678956295,706311000,-0.000110555,-0.000567773,-0.001959893,-0.398123741,-0.009431878,0.016911451,0.917127371,0.003391719,0.014546713,-0.012862784,-0.141273096,0.022471014,-0.026237473
1678956296,18,1678956295,706311000,-0.000110555,-0.000567773,-0.001959893,-0.398123741,-0.009431878,0.016911451,0.917127371,0.003391719,0.014546713,-0.012862784,-0.141273096,0.022471014,-0.026237473
1678956296,20,1678956295,712510000,-9.16E-05,-0.000484801,-0.002013045,-0.398221225,-0.009452842,0.016810041,0.91708672,0.00404794,0.017737752,-0.00924069,0.014489247,-0.081963435,-0.022137027
1678956296,21,1678956295,718722000,-0.000141048,-0.00073731,-0.0013932,-0.397825509,-0.009670212,0.016644815,0.917259216,0.004185814,0.030732406,0.007879203,0.169673145,-0.06737683,0.004850353
1678956296,22,1678956295,718722000,-0.000141048,-0.00073731,-0.0013932,-0.397825509,-0.009670212,0.016644815,0.917259216,0.004185814,0.030732406,0.007879203,0.169673145,-0.06737683,0.004850353
1678956296,23,1678956295,718722000,-0.000141048,-0.00073731,-0.0013932,-0.397825509,-0.009670212,0.016644815,0.917259216,0.004185814,0.030732406,0.007879203,0.169673145,-0.06737683,0.004850353
1678956296,24,1678956295,735227000,-0.000131317,-0.00094422,-0.001660997,-0.397647232,-0.009488139,0.016899545,0.917333722,0.000678002,-0.015716283,-0.017327812,-0.013850081,-0.021415278,0.043440256
1678956296,25,1678956295,742434000,-0.000129139,-0.001046128,-0.001761964,-0.397709966,-0.009597418,0.016871018,0.917305887,7.85E-05,-0.024474662,-0.021876153,-0.028718358,-0.05917985,-0.032737993
1678956296,26,1678956295,748708000,-0.000140329,-0.000689485,-0.00135156,-0.397647113,-0.009629738,0.01669706,0.917335987,-0.001460602,0.032186486,0.009132993,0.040596552,0.018800322,0.027626781
