pose.orientation.x,pose.orientation.y,pose.orientation.z,pose.orientation.w
-0.6902519485068518,-0.012942741054960596,-0.014300799500044049,-0.7233120227456411
-0.6904505070962207,-0.012510430594774332,-0.014173969838680165,-0.7231326446279949
-0.6906648871005493,-0.012507895731795976,-0.013979058856672595,-0.7229315814083179
-0.6906583822527872,-0.012064505631737983,-0.014133570154547945,-0.7229423804511934
-0.690629659143619,-0.012046442399176207,-0.014162243798087885,-0.7229695598828645
-0.6903208641814823,-0.01229409690928708,-0.014143131600349261,-0.7232606900076288
-0.6903208641814823,-0.01229409690928708,-0.014143131600349261,-0.7232606900076288
-0.69047200285112,-0.012218077543073084,-0.014042230947013574,-0.7231196594166174
-0.6904487208234028,-0.012111299366556631,-0.013989965693101722,-0.7231447379429043
-0.6905294166671795,-0.01193828967255157,-0.014005382375710898,-0.7230702217458344
-0.6905294166671795,-0.01193828967255157,-0.014005382375710898,-0.7230702217458344
-0.6903085573527212,-0.01202963056726706,-0.0141123122678311,-0.7232774602154488
-0.6903085573527212,-0.01202963056726706,-0.0141123122678311,-0.7232774602154488
-0.6903085573527212,-0.01202963056726706,-0.0141123122678311,-0.7232774602154488
-0.6899170072148508,-0.011999495918864216,-0.01382950142755551,-0.7236569611098531
-0.6904677154699619,-0.012067793667789418,-0.013863702422500913,-0.7231296249067372
-0.6904108803333447,-0.012321193906301228,-0.013973369686697865,-0.7231775955603139
-0.6904108803333447,-0.012321193906301228,-0.013973369686697865,-0.7231775955603139
-0.6903435304013141,-0.012215367882453722,-0.013937001170345551,-0.7232444155056309
-0.69065657966486,-0.011979237597862619,-0.014073280303428595,-0.7229468150758153
-0.6907058701703201,-0.012003941706144564,-0.014026252465244755,-0.7229002271075247
-0.6907058701703201,-0.012003941706144564,-0.014026252465244755,-0.7229002271075247
-0.6906591118278822,-0.012226077018660493,-0.014047825406922534,-0.7229407105217666
-0.6906897491302866,-0.012169228685507552,-0.0140458347608685,-0.7229124040342738
-0.6906543647141101,-0.012025190577238037,-0.01394541313256345,-0.7229505736456561
-0.6906543647141101,-0.012025190577238037,-0.01394541313256345,-0.7229505736456561
-0.6906543647141101,-0.012025190577238037,-0.01394541313256345,-0.7229505736456561
-0.6906543647141101,-0.012025190577238037,-0.01394541313256345,-0.7229505736456561
-0.6903719157932074,-0.012314467847518221,-0.013866689214248554,-0.723216892972974
-0.6904699946257522,-0.01220942485782473,-0.013819935154505227,-0.7231259319399892
-0.6904494707768147,-0.012276735103063135,-0.013863512441999465,-0.7231435546885512
-0.6904673598765377,-0.012081331515027063,-0.013923705204935934,-0.7231286403918931
-0.6904673598765377,-0.012081331515027063,-0.013923705204935934,-0.7231286403918931
-0.6905365561891774,-0.012124791459761797,-0.013856485522400985,-0.7230631691674291
-0.6902284958939994,-0.012074723694737926,-0.013778800425064174,-0.7233595675467903
-0.6903276311267632,-0.012024154673026583,-0.013733857057880557,-0.7232666390218306
-0.6903276311267632,-0.012024154673026583,-0.013733857057880557,-0.7232666390218306
-0.6903276311267632,-0.012024154673026583,-0.013733857057880557,-0.7232666390218306
-0.6903276311267632,-0.012024154673026583,-0.013733857057880557,-0.7232666390218306
-0.6905138473808416,-0.012027183321066674,-0.013668366653551926,-0.7230900481503004
-0.6902913938164521,-0.011712192047382837,-0.013726621469551458,-0.7233064378399319
-0.6902913938164521,-0.011712192047382837,-0.013726621469551458,-0.7233064378399319
-0.6906281821885482,-0.011745932443009161,-0.013817994686345345,-0.7229825752551962
-0.6906102552079669,-0.011781897160948265,-0.013730190405736378,-0.7230007871600828
-0.6907165966139861,-0.012058571028001773,-0.013688662835430989,-0.7228954769396717
-0.6907165966139861,-0.012058571028001773,-0.013688662835430989,-0.7228954769396717
-0.6907165966139861,-0.012058571028001773,-0.013688662835430989,-0.7228954769396717
-0.6907165966139861,-0.012058571028001773,-0.013688662835430989,-0.7228954769396717
-0.6904996678640589,-0.01218281038054318,-0.013698586934861062,-0.7231003946570211
-0.6904996678640589,-0.01218281038054318,-0.013698586934861062,-0.7231003946570211
-0.6906877572561967,-0.011890216523196304,-0.013847878306818585,-0.7229227841147938
-0.6907388738068377,-0.011919653922506672,-0.01367186343696436,-0.7228767990135094
-0.6907388738068377,-0.011919653922506672,-0.01367186343696436,-0.7228767990135094
-0.6907343816485447,-0.01187075696704231,-0.013735155588689069,-0.7228806962272641
-0.6904640909234642,-0.012084952776918357,-0.013676678116838465,-0.7231363494390861
-0.6905249839137697,-0.011954821742394841,-0.013739951513385607,-0.7230792976028911
-0.6903198320243192,-0.011882414334928634,-0.013687655340372104,-0.7232773423080922
-0.6903198320243192,-0.011882414334928634,-0.013687655340372104,-0.7232773423080922
-0.6903198320243192,-0.011882414334928634,-0.013687655340372104,-0.7232773423080922
-0.6903198320243192,-0.011882414334928634,-0.013687655340372104,-0.7232773423080922
-0.6903198320243192,-0.011882414334928634,-0.013687655340372104,-0.7232773423080922
-0.689983073006863,-0.01195239178954588,-0.013749795612471364,-0.7235961785989893
-0.689983073006863,-0.01195239178954588,-0.013749795612471364,-0.7235961785989893
-0.689983073006863,-0.01195239178954588,-0.013749795612471364,-0.7235961785989893
-0.6902049346477863,-0.011781224769525766,-0.013750261477392502,-0.7233874815414596
-0.6902049346477863,-0.011781224769525766,-0.013750261477392502,-0.7233874815414596
-0.6902885266309909,-0.011724519310570935,-0.013837758514926149,-0.723306817912875
-0.6902885266309909,-0.011724519310570935,-0.013837758514926149,-0.723306817912875
-0.6902885266309909,-0.011724519310570935,-0.013837758514926149,-0.723306817912875
-0.6902885266309909,-0.011724519310570935,-0.013837758514926149,-0.723306817912875
-0.6902885266309909,-0.011724519310570935,-0.013837758514926149,-0.723306817912875
-0.6900961825437597,-0.011819092321678729,-0.013819592479178334,-0.7234892135294433
-0.690587110189585,-0.011791967187064567,-0.013997697670711781,-0.7230176658993311
-0.690356895202114,-0.012055342575817809,-0.013858928242693597,-0.723235814975297
-0.6903400088986582,-0.012142859957249905,-0.013852681838732984,-0.7232505727234462
-0.6903400088986582,-0.012142859957249905,-0.013852681838732984,-0.7232505727234462
-0.690505436376619,-0.012143686009309654,-0.013954355452297994,-0.7230906678013568
-0.6901926099150677,-0.01219532338450014,-0.013958314166202,-0.7233883415483988
-0.6902551134648358,-0.012226084226255908,-0.013760513363640934,-0.723331971772601
-0.6901847032584553,-0.01209589015853168,-0.013858763079534965,-0.7233993654467524
-0.6901847032584553,-0.01209589015853168,-0.013858763079534965,-0.7233993654467524
-0.6901847032584553,-0.01209589015853168,-0.013858763079534965,-0.7233993654467524
-0.6901627430562016,-0.01203524822841955,-0.013675866152052372,-0.723424808805835
-0.6901627430562016,-0.01203524822841955,-0.013675866152052372,-0.723424808805835
-0.6907863527963822,-0.01167561182886194,-0.013776733013454352,-0.7228334727489361
-0.6904807084109996,-0.012040086566924268,-0.013808591391703401,-0.7231188359483552
-0.6904222796572209,-0.011718137513235027,-0.013775662344750571,-0.7231804957045828
-0.6904222796572209,-0.011718137513235027,-0.013775662344750571,-0.7231804957045828
-0.6908044372043455,-0.011678609264641801,-0.013567478443068633,-0.7228200429110775
-0.6908044372043455,-0.011678609264641801,-0.013567478443068633,-0.7228200429110775
-0.6908044372043455,-0.011678609264641801,-0.013567478443068633,-0.7228200429110775
-0.6908044372043455,-0.011678609264641801,-0.013567478443068633,-0.7228200429110775
-0.6908044372043455,-0.011678609264641801,-0.013567478443068633,-0.7228200429110775
-0.6908044372043455,-0.011678609264641801,-0.013567478443068633,-0.7228200429110775
-0.6906013051449293,-0.012046783377895512,-0.01349557459524211,-0.7230093839128704
-0.6902496593283847,-0.011640099340965169,-0.01373696126727442,-0.7233472845365259
-0.6904764784718611,-0.011509461088704282,-0.01375808043624296,-0.7231323844262816
-0.6904764784718611,-0.011509461088704282,-0.01375808043624296,-0.7231323844262816
-0.6904420160836247,-0.011654866388534961,-0.013720564637903417,-0.7231637206135919
-0.6903788016077606,-0.011771636520792472,-0.013526181941925418,-0.7232258398703402
-0.6906514543278931,-0.011967056420026224,-0.013523515892564234,-0.7229623395745063
-0.6905183854521734,-0.01196607488694821,-0.013683482516837882,-0.7230864446525525
-0.6905183854521734,-0.01196607488694821,-0.013683482516837882,-0.7230864446525525
-0.6904847136892429,-0.01201834113260525,-0.013461920569801777,-0.7231218901832601
-0.690696830010847,-0.011918290294595419,-0.013441182402746497,-0.7229213176349246
